title,heading,context,tokens
Residential Zones,Purpose,"Residential Zones
Purpose

This Chapter lists the land uses that may be allowed within the residential zones established by Section 35.14.020 (Zoning Map and Zones), determines the type of planning permit/approval required for each use and provides basic standards for site layout and building size.",63.0
Purposes of the Residential Zones,RR (Residential Ranchette),"Purposes of the Residential Zones
RR (Residential Ranchette)

The RR zone is applied within Urban, Inner-Rural and Existing Developed Rural Neighborhood areas as designated on the Comprehensive Plan maps where low density residential and agricultural uses are appropriate. This zone is intended to preserve the character of an area and to minimize the services required by providing for low density residential development.",81.0
Purposes of the Residential Zones,R-1/E-1 (Single Family Residential) zone,"Purposes of the Residential Zones
R-1/E-1 (Single Family Residential) zone

The R-1 and E-1 zones are applied to areas appropriately located for one-family living at a reasonable range of population densities, consistent with sound standards of public health, safety, and welfare. This zone is intended to protect the residential characteristics of an area and to promote a suitable environment for family life.",87.0
Purposes of the Residential Zones,EX-1 (One-Family Exclusive Residential) zone,"Purposes of the Residential Zones
EX-1 (One-Family Exclusive Residential) zone

The EX-1 zone is applied to areas appropriate for high standards of residential estate development on lots larger than one acre. The intent is to ensure that development protects the residential character of the area and is consistent with sound standards that promote public health, safety, and welfare.",75.0
Purposes of the Residential Zones,R-2 (Two-Family Residential) zone.,"Purposes of the Residential Zones
R-2 (Two-Family Residential) zone.

The R-2 zone is applied to areas appropriate for residential development in the form of two-family dwellings (duplexes) and to maintain a residential character similar to that of one-family neighborhoods. This zone is intended to ensure the compatibility of duplex development with surrounding multiple and one-family dwellings and neighborhoods.",85.0
Purposes of the Residential Zones,DR (Design Residential) zone.,"Purposes of the Residential Zones
DR (Design Residential) zone.

The DR zone is applied to areas appropriate for one-family, two-family, and multi-family dwellings. This zone is intended to ensure comprehensively planned and well designed residential development, while allowing flexibility and encouraging innovation and diverse design, and requiring that substantial open space be maintained within new residential developments.",78.0
Purposes of the Residential Zones,PRD (Planned Residential Development) zone.,"Purposes of the Residential Zones
PRD (Planned Residential Development) zone.

The PRD zone ensures the comprehensively planned development of large acreage within Urban Areas as designated on the Comprehensive Plan maps that are intended primarily for residential use. The intent of this zone is to: 1. Promote flexibility and innovative design of residential development, to provide desirable aesthetic and efficient use of space and to preserve significant natural, scenic, and cultural resources of a site. 2. Encourage clustering of structures to preserve a maximum amount of open space. 3. Allow for a diversity of housing types; and 4. Provide recreational opportunities for use by both the residents of the site and the public.",142.0
Purposes of the Residential Zones,SLP (Small Lot Planned Development) zone.,"Purposes of the Residential Zones
SLP (Small Lot Planned Development) zone.

SLP zone is applied to areas appropriate for increased opportunities for affordable housing, and establishes standards for the development of individual small lots for one-family homes. The intent of this zone is to: 1. Provide housing opportunities which meet the needs of the community, including housing for low, moderate, and middle income households, families with children, senior citizens, and other identified households in need; and 2. Ensure a safe and attractive residential environment by promoting high standards of site planning, architecture, and landscaping for small lot planned development.",127.0
Purposes of the Residential Zones,MHP (Mobile Home Planned Development) zone.,"Purposes of the Residential Zones
MHP (Mobile Home Planned Development) zone.

The MHP zone is applied to areas appropriate for mobile homes on non-permanent foundations, in planned developments including mobile home rental parks and mobile home statutory (air space) condominiums. The intent is to meet community needs by providing affordable housing opportunities. The intent is also to ensure a safe and attractive residential environment by promoting high standards of site planning, architecture, and landscaping design for mobile home developments.",103.0
Purposes of the Residential Zones,MHS (Mobile Home Subdivision) zone.,"Purposes of the Residential Zones
MHS (Mobile Home Subdivision) zone.

The MHS zone is applied to areas appropriate for increasing opportunities for affordable housing, and established standards for the development of mobile home subdivisions. To this end, the intent of this MHS zone is to meet community needs by providing housing opportunities for low, moderate, and middle income households, families with children, senior citizens, and other identified households in need. The intent is also to ensure a safe and attractive residential environment by promoting high standards of site planning, architecture, and landscaping for mobile home developments.",122.0
